Intent,User_Input,Response,Entity,Category
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Drug_Info,What is Lithium used for?,Lithium is used for treatment of its respective condition.,Lithium,Drug
Symptom_Advice,"I have nausea, what should I do?","For nausea, monitor and consult your doctor if persistent.",nausea,Symptom
Interaction_Check,Can I take Aspirin and Lithium together?,Aspirin and Lithium may have Minor interaction.,Aspirin/Lithium,Drug
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Side_Effect,What are side effects of Amiodarone?,Common side effects of Amiodarone include mild to moderate reactions.,Amiodarone,Drug
Drug_Info,What is Metformin used for?,Metformin is used for treatment of its respective condition.,Metformin,Drug
Drug_Info,What is Lisinopril used for?,Lisinopril is used for treatment of its respective condition.,Lisinopril,Drug
Interaction_Check,Can I take Levothyroxine and Omeprazole together?,Levothyroxine and Omeprazole may have Major interaction.,Levothyroxine/Omeprazole,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Drug_Dosage,Recommended dose of Lisinopril?,Typical dose for Lisinopril depends on individual condition. Consult doctor.,Lisinopril,Drug
Drug_Dosage,Recommended dose of Omeprazole?,Typical dose for Omeprazole depends on individual condition. Consult doctor.,Omeprazole,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Interaction_Check,Can I take Lithium and Amiodarone together?,Lithium and Amiodarone may have Major interaction.,Lithium/Amiodarone,Drug
Interaction_Check,Can I take Prednisone and Digoxin together?,Prednisone and Digoxin may have Moderate interaction.,Prednisone/Digoxin,Drug
Drug_Info,What is Digoxin used for?,Digoxin is used for treatment of its respective condition.,Digoxin,Drug
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Lifestyle_Advice,Can I take exercise with my medication?,Avoid taking exercise with certain medications. Consult your doctor.,exercise,Lifestyle
Side_Effect,What are side effects of Warfarin?,Common side effects of Warfarin include mild to moderate reactions.,Warfarin,Drug
Drug_Dosage,Recommended dose of Warfarin?,Typical dose for Warfarin depends on individual condition. Consult doctor.,Warfarin,Drug
Side_Effect,What are side effects of Ibuprofen?,Common side effects of Ibuprofen include mild to moderate reactions.,Ibuprofen,Drug
Lifestyle_Advice,Can I take grapefruit with my medication?,Avoid taking grapefruit with certain medications. Consult your doctor.,grapefruit,Lifestyle
Symptom_Advice,"I have shortness of breath, what should I do?","For shortness of breath, monitor and consult your doctor if persistent.",shortness of breath,Symptom
Interaction_Check,Can I take Lithium and Warfarin together?,Lithium and Warfarin may have Major interaction.,Lithium/Warfarin,Drug
Symptom_Advice,"I have headache, what should I do?","For headache, monitor and consult your doctor if persistent.",headache,Symptom
Interaction_Check,Can I take Simvastatin and Warfarin together?,Simvastatin and Warfarin may have Moderate interaction.,Simvastatin/Warfarin,Drug
Lifestyle_Advice,Can I take diet with my medication?,Avoid taking diet with certain medications. Consult your doctor.,diet,Lifestyle
Interaction_Check,Can I take Digoxin and Simvastatin together?,Digoxin and Simvastatin may have Moderate interaction.,Digoxin/Simvastatin,Drug
Lifestyle_Advice,Can I take alcohol with my medication?,Avoid taking alcohol with certain medications. Consult your doctor.,alcohol,Lifestyle
Side_Effect,What are side effects of Clopidogrel?,Common side effects of Clopidogrel include mild to moderate reactions.,Clopidogrel,Drug
